movieId,movieName,movieRate
1975269,The Borrowers,6.3
2485988,Our Girl,7.6
2457138,Battledogs,3.5
4012254,A Cookie Cutter Christmas,6.1
2415496,Love at the Thanksgiving Day Parade,6.7
4177742,Christmas at Cartwright's,6.4
4200442,Aurora Teagarden Mystery: A Bone to Pick,6.7
2090537,Jack Irish: Black Tide,6.8
2034009,Haunted High,3.1
1641831,Doomsday Prophecy,4
1910501,Annie Claus Is Coming to Town,6.3
2207658,Louis Theroux: Twilight of the Porn Stars,7.3
3816372,The Unauthorized Saved by the Bell Story,4.6
2787002,Jodi Arias: Dirty Little Secret,6.2
4280430,A Christmas Kiss II,6.1
2094787,Undercover Bridesmaid,5.5
5949946,My Christmas Dream,6.3
2183152,The Lady Vanishes,6.1
3202500,A berni követ,7.1
6288876,A Christmas to Remember,6.6
5156770,Charming Christmas,6.3
5182120,I'm Not Ready for Christmas,6.1
2193185,Rewind,6.2
3004544,Pete's Christmas,6
9046574,ReMastered: Devil at the Crossroads,7
1577038,A Christmas Wish,6.7
1874757,The Good Witch's Family,7.1
6279602,A Dream of Christmas,6.7
7038614,Coming Home for Christmas,6.8
3481232,And the Oscar Goes To...,7.2
3077060,House of Versace,5.7
7030432,The Sweetest Christmas,6.4
5265662,Christmas Land,6.2
2400894,Skydancers,8.5
8235660,Megalodon,2.9
2569792,Murder on the Home Front,6.7
3815480,Stranded in Paradise,5.4
3345310,David Blaine: Real or Magic,7.6
7860890,The Zen Diaries of Garry Shandling,8.4
4587740,A Christmas Melody,6.1
3131532,Catch a Christmas Star,6.3
6253522,King Charles III,6.4
4074772,A Very Special Supernatural Special,8.9
6587078,Moonlight in Vermont,6.5
3515524,Valentine Ever After,6.7
2336846,She Made Them Do It,6.3
2443936,Family Guy: 200 Episodes Later,7.2
4621642,"Murder, She Baked: A Chocolate Chip Cookie Mystery",6.6
7006938,A Gift to Remember,6.7
6881890,A Christmas Story Live!,4.5
7440948,Christmas in Evergreen,6.6
5902138,Christmas List,6.3
6791000,Marry Me at Christmas,6.5
7421814,Snowed-Inn Christmas,7.4
5828874,My Summer Prince,6.3
2235348,Second Chances,7.1
4823992,The Bad Seed,6.1
6245488,Finding Father Christmas,7
7883022,Harry & Meghan: A Royal Romance,5.8
3580052,Trailer Park Boys: Live in F**kin' Dublin,5.9
3823994,Aaliyah: The Princess of R&B,3
7657462,A Bramble House Christmas,7.2
5056034,'Tis the Season for Love,6.5
4618800,Real Murders: An Aurora Teagarden Mystery,6.9
6928060,My Favorite Wedding,6.3
2277932,Exploding Sun,3.7
1956502,Girl Fight,6.3
7647000,"With Love, Christmas",6.8
6237208,From Straight A's to XXX,5.1
10484298,Oprah Winfrey Presents: When They See Us Now,7.7
4340888,Perfect High,6.1
1887703,Collision Earth,3.4
4711762,Churchill's Secret,6.8
2008491,Trading Christmas,6.9
